File name,Fleet size,Number of jobs,Average job duration,Average energy job costs,Lower bound,Upper bound,GAP (%),Runtime
Ins_V10_J150_T30_R60_B10_W2_S86_N6.txt,10,150,34,2,675,675,0.00,13.82
Ins_V5_J50_T10_R60_B10_W4_S122_N2.txt,5,50,13,4,391,391,0.00,0.39
Ins_V2_J100_T30_R60_B10_W1_S202_N2.txt,2,100,38,1,2280,2280,0.00,0.12
Ins_V5_J200_T10_R60_B10_W2_S309_N9.txt,5,200,13,2,1097,1097,0.00,1.23
Ins_V5_J50_T20_R60_B10_W4_S130_N0.txt,5,50,20,4,401,401,0.00,0.09
Ins_V10_J50_T10_R60_B10_W2_S150_N0.txt,10,50,10,2,82,105,28.05,0.06
Ins_V2_J150_T10_R60_B10_W4_S2_N2.txt,2,150,12,4,2975,2975,0.00,38.09
Ins_V10_J100_T10_R60_B10_W1_S248_N8.txt,10,100,14,1,159,160,0.63,0.20
Ins_V5_J200_T20_R60_B10_W2_S317_N7.txt,5,200,25,2,1566,1566,0.00,0.97
Ins_V2_J200_T20_R60_B10_W4_S281_N1.txt,2,200,24,4,5349,5349,0.00,240.23
Ins_V5_J200_T10_R60_B10_W1_S309_N9.txt,5,200,13,1,797,797,0.00,0.76
Ins_V5_J100_T20_R60_B10_W1_S220_N0.txt,5,100,23,1,568,568,0.00,0.15
Ins_V10_J200_T30_R60_B10_W2_S359_N9.txt,10,200,37,2,1017,1017,0.00,3.60
Ins_V10_J50_T10_R60_B10_W4_S154_N4.txt,10,50,11,4,143,167,16.78,0.35
Ins_V5_J150_T10_R60_B10_W2_S32_N2.txt,5,150,11,2,763,763,0.00,0.36
Ins_V2_J200_T30_R60_B10_W2_S297_N7.txt,2,200,37,2,5297,5297,0.00,0.78
Ins_V5_J150_T30_R60_B10_W4_S57_N7.txt,5,150,40,4,2019,2019,0.00,43.63
Ins_V2_J50_T20_R60_B10_W2_S101_N1.txt,2,50,23,2,987,987,0.00,0.04
Ins_V10_J100_T10_R60_B10_W4_S245_N5.txt,10,100,11,4,336,336,0.00,1.26
Ins_V2_J200_T10_R60_B10_W4_S276_N6.txt,2,200,11,4,3801,3801,0.00,240.10
Ins_V2_J100_T20_R60_B10_W2_S190_N0.txt,2,100,27,2,2204,2204,0.00,0.14
Ins_V5_J100_T10_R60_B10_W1_S212_N2.txt,5,100,12,1,349,349,0.00,0.17
Ins_V2_J150_T30_R60_B10_W1_S21_N1.txt,2,150,41,1,3634,3634,0.00,0.31
Ins_V10_J50_T30_R60_B10_W1_S179_N9.txt,10,50,39,1,196,196,0.00,0.06
Ins_V2_J100_T20_R60_B10_W4_S191_N1.txt,2,100,26,4,2680,2680,0.00,0.24
Ins_V10_J100_T20_R60_B10_W1_S256_N6.txt,10,100,24,1,262,262,0.00,0.17
Ins_V10_J50_T20_R60_B10_W4_S160_N0.txt,10,50,25,4,205,208,1.46,3.00
Ins_V5_J150_T10_R60_B10_W1_S38_N8.txt,5,150,12,1,571,571,0.00,0.45
Ins_V10_J200_T30_R60_B10_W1_S355_N5.txt,10,200,39,1,886,886,0.00,2.13
Ins_V10_J100_T30_R60_B10_W2_S261_N1.txt,10,100,36,2,457,458,0.22,2.25
Ins_V5_J150_T20_R60_B10_W4_S47_N7.txt,5,150,25,4,1653,1653,0.00,240.22
Ins_V5_J50_T30_R60_B10_W1_S149_N9.txt,5,50,37,1,397,397,0.00,0.04
Ins_V2_J150_T20_R60_B10_W1_S10_N0.txt,2,150,24,1,2421,2421,0.00,0.29
Ins_V5_J50_T30_R60_B10_W2_S146_N6.txt,5,50,42,2,530,536,1.13,0.06
Ins_V5_J200_T10_R60_B10_W4_S307_N7.txt,5,200,12,4,1588,1588,0.00,240.32
Ins_V5_J50_T30_R60_B10_W4_S149_N9.txt,5,50,37,3,553,557,0.72,0.60
Ins_V2_J100_T30_R60_B10_W4_S207_N7.txt,2,100,39,4,3308,3308,0.00,8.71
Ins_V2_J100_T30_R60_B10_W2_S205_N5.txt,2,100,37,2,2610,2610,0.00,0.15
Ins_V10_J100_T10_R60_B10_W2_S242_N2.txt,10,100,12,2,221,228,3.17,0.35
Ins_V10_J100_T10_R60_B10_W4_S248_N8.txt,10,100,14,4,357,357,0.00,251.99
Ins_V10_J50_T10_R60_B10_W1_S153_N3.txt,10,50,11,1,56,56,0.00,0.04
Ins_V2_J150_T10_R60_B10_W2_S5_N5.txt,2,150,12,2,2112,2112,0.00,0.29
Ins_V2_J200_T30_R60_B10_W4_S290_N0.txt,2,200,37,4,6442,6442,0.00,240.35
Ins_V5_J100_T30_R60_B10_W1_S231_N1.txt,5,100,39,1,877,878,0.11,0.17
Ins_V10_J200_T30_R60_B10_W4_S356_N6.txt,10,200,39,4,1313,1313,0.00,243.00
Ins_V5_J100_T30_R60_B10_W2_S239_N9.txt,5,100,37,2,993,993,0.00,0.30
Ins_V10_J100_T10_R60_B10_W4_S244_N4.txt,10,100,12,4,345,345,0.00,7.01
Ins_V5_J50_T20_R60_B10_W1_S133_N3.txt,5,50,26,1,300,300,0.00,0.05
Ins_V5_J100_T20_R60_B10_W1_S228_N8.txt,5,100,25,1,600,600,0.00,0.16
Ins_V10_J50_T30_R60_B10_W2_S176_N6.txt,10,50,32,2,186,189,1.61,0.05
Ins_V10_J50_T10_R60_B10_W1_S158_N8.txt,10,50,12,1,61,61,0.00,0.05
Ins_V2_J100_T30_R60_B10_W2_S206_N6.txt,2,100,39,2,2775,2775,0.00,0.13
